instance; param1; param2; f_sol_optimal; f_mh_min; f_mh_mean; temp_min; temp_mean; gap_min; gap_mean
A-n32-k5;0,15;0,3;784,0;788,0;788,0;0,7253726;8,039069;0,005102041;0,005102041
A-n33-k5;0,15;0,3;661,0;663,0;663,0;0,05372572;0,8689897;0,003025719;0,003025719
A-n33-k6;0,15;0,3;742,0;743,0;743,0;2,090943;29,11101;0,001347709;0,001347709
A-n34-k5;0,15;0,3;778,0;781,0;781,0;0,5739667;12,00257;0,003856041;0,003856041
A-n36-k5;0,15;0,3;799,0;803,0;806,0;32,42764;139,1886;0,005006258;0,008760951
A-n37-k5;0,15;0,3;669,0;673,0;673,0;0,6533425;1,432495;0,005979073;0,005979073
A-n37-k6;0,15;0,3;949,0;951,0;951,6;0,1314003;104,6164;0,002107482;0,002739726
A-n38-k5;0,15;0,3;730,0;734,0;734,0;2,727551;40,63456;0,005479452;0,005479452
A-n39-k5;0,15;0,3;822,0;829,0;829,2;16,60701;137,0638;0,008515815;0,008759124
A-n39-k6;0,15;0,3;831,0;834,0;835,2;1,00987;31,9994;0,003610108;0,005054152
A-n44-k6;0,15;0,3;937,0;939,0;942,0;83,99685;150,1695;0,002134472;0,005336179
A-n45-k6;0,15;0,3;944,0;945,0;947,4;28,94329;148,8973;0,001059322;0,003601695
A-n45-k7;0,15;0,3;1146,0;1147,0;1150,6;110,309;184,4799;0,0008726003;0,004013962
A-n46-k7;0,15;0,3;914,0;918,0;918,8;34,90067;119,0251;0,004376368;0,005251641
A-n48-k7;0,15;0,3;1073,0;1075,0;1077,4;105,3819;183,9879;0,001863933;0,004100652
A-n53-k7;0,15;0,3;1010,0;1020,0;1022,0;14,43397;109,9275;0,00990099;0,01188119
A-n54-k7;0,15;0,3;1167,0;1174,0;1180,2;146,95;234,3485;0,005998286;0,01131105
A-n55-k9;0,15;0,3;1073,0;1075,0;1076,4;61,90652;127,6853;0,001863933;0,003168686
A-n60-k9;0,15;0,3;1354,0;1386,0;1392,8;18,90046;123,758;0,02363368;0,02865583
A-n61-k9;0,15;0,3;1034,0;1067,0;1074,6;42,41397;165,7931;0,03191489;0,03926499
A-n62-k8;0,15;0,3;1288,0;1312,0;1317,6;46,11897;168,78;0,01863354;0,02298137
A-n63-k10;0,15;0,3;1314,0;1328,0;1347,0;122,6683;186,7587;0,01065449;0,02511416
A-n63-k9;0,15;0,3;1616,0;1676,0;1683,8;69,80425;144,9814;0,03712871;0,04195545
A-n64-k9;0,15;0,3;1401,0;1446,0;1458,6;44,07044;157,411;0,03211991;0,04111349
A-n65-k9;0,15;0,3;1174,0;1186,0;1190,6;5,307653;124,8119;0,01022147;0,01413969
A-n69-k9;0,15;0,3;1159,0;1174,0;1180,8;33,09608;146,6331;0,01294219;0,01880932
A-n80-k10;0,15;0,3;1763,0;1836,0;1857,6;78,2528;164,2333;0,04140669;0,05365854
B-n31-k5;0,15;0,3;672,0;677,0;678,2;14,31822;101,5516;0,007440476;0,00922619
B-n34-k5;0,15;0,3;788,0;790,0;790,0;6,986355;18,59154;0,002538071;0,002538071
B-n35-k5;0,15;0,3;955,0;957,0;957,0;3,344454;8,651693;0,002094241;0,002094241
B-n38-k6;0,15;0,3;805,0;809,0;809,0;1,352627;12,04682;0,004968944;0,004968944
B-n39-k5;0,15;0,3;549,0;554,0;554,0;0,1829548;16,93216;0,009107468;0,009107468
B-n41-k6;0,15;0,3;829,0;834,0;834,8;20,61862;122,9754;0,006031363;0,006996381
B-n43-k6;0,15;0,3;742,0;747,0;747,2;125,3792;201,5916;0,006738544;0,007008086
B-n44-k7;0,15;0,3;909,0;915,0;918,2;19,98646;138,3703;0,00660066;0,01012101
B-n45-k5;0,15;0,3;751,0;759,0;762,2;22,49518;139,9636;0,01065246;0,01491345
B-n45-k6;0,15;0,3;678,0;689,0;690,6;13,75903;153,4616;0,01622419;0,01858407
B-n50-k7;0,15;0,3;741,0;745,0;745,0;0,3892963;2,739866;0,005398111;0,005398111
B-n50-k8;0,15;0,3;1312,0;1328,0;1331,0;108,9773;206,3383;0,01219512;0,01448171
B-n51-k7;0,15;0,3;1032,0;1039,0;1043,6;24,48765;176,8343;0,006782946;0,01124031
B-n52-k7;0,15;0,3;747,0;751,0;751,0;17,22388;116,3865;0,005354752;0,005354752
B-n56-k7;0,15;0,3;707,0;713,0;718,8;13,56166;82,5391;0,008486563;0,01669024
B-n57-k7;0,15;0,3;1153,0;1163,0;1211,0;27,0852;154,3283;0,008673027;0,05030356
B-n57-k9;0,15;0,3;1598,0;1617,0;1621,8;84,60153;197,8248;0,01188986;0,01489362
B-n63-k10;0,15;0,3;1496,0;1554,0;1562,0;78,80339;153,9193;0,03877005;0,04411765
B-n64-k9;0,15;0,3;861,0;878,0;885,2;35,19895;129,8816;0,01974448;0,02810685
B-n66-k9;0,15;0,3;1316,0;1348,0;1351,8;152,2388;230,9226;0,02431611;0,02720365
B-n67-k10;0,15;0,3;1032,0;1058,0;1065,4;29,84803;141,1152;0,0251938;0,03236434
B-n68-k9;0,15;0,3;1272,0;1311,0;1318,8;17,02569;138,5864;0,03066038;0,03679245
B-n78-k10;0,15;0,3;1221,0;1275,0;1288,6;65,06458;160,0087;0,04422604;0,05536446
F-n135-k7;0,15;0,3;1162,0;1186,0;1207,6;73,43394;197,6259;0,02065404;0,03924269
F-n45-k4;0,15;0,3;724,0;724,0;724,0;2,835017;9,002331;0,0;0,0
F-n72-k4;0,15;0,3;237,0;245,0;247,4;211,2103;246,4642;0,03375527;0,04388186
