instance; param1; param2; f_sol_optimal; f_mh_min; f_mh_mean; temp_min; temp_mean; gap_min; gap_mean
A-n32-k5;0.15;0.1;784.0;788.0;788.0;39.90713;39.90713;0.005102041;0.005102041
A-n32-k5;0.15;0.3;784.0;788.0;788.0;43.32316;43.32316;0.005102041;0.005102041
A-n32-k5;0.15;0.5;784.0;788.0;788.0;25.98417;25.98417;0.005102041;0.005102041
A-n32-k5;0.2;0.1;784.0;788.0;788.0;4.190833;4.190833;0.005102041;0.005102041
A-n32-k5;0.2;0.3;784.0;788.0;788.0;14.54141;14.54141;0.005102041;0.005102041
A-n32-k5;0.2;0.5;784.0;788.0;788.0;12.10507;12.10507;0.005102041;0.005102041
A-n32-k5;0.3;0.1;784.0;788.0;788.0;1.008573;1.008573;0.005102041;0.005102041
A-n32-k5;0.3;0.3;784.0;788.0;788.0;27.6254;27.6254;0.005102041;0.005102041
A-n32-k5;0.3;0.5;784.0;788.0;788.0;22.8752;22.8752;0.005102041;0.005102041
A-n46-k7;0.15;0.1;914.0;919.0;919.0;105.385;105.385;0.00547046;0.00547046
A-n46-k7;0.15;0.3;914.0;919.0;919.0;89.27155;89.27155;0.00547046;0.00547046
A-n46-k7;0.15;0.5;914.0;918.0;918.0;146.913;146.913;0.004376368;0.004376368
A-n46-k7;0.2;0.1;914.0;926.0;926.0;56.44825;56.44825;0.0131291;0.0131291
A-n46-k7;0.2;0.3;914.0;922.0;922.0;133.1202;133.1202;0.008752735;0.008752735
A-n46-k7;0.2;0.5;914.0;922.0;922.0;148.104;148.104;0.008752735;0.008752735
A-n46-k7;0.3;0.1;914.0;927.0;927.0;116.3036;116.3036;0.01422319;0.01422319
A-n46-k7;0.3;0.3;914.0;925.0;925.0;97.14809;97.14809;0.01203501;0.01203501
A-n46-k7;0.3;0.5;914.0;923.0;923.0;161.3461;161.3461;0.009846827;0.009846827
A-n80-k10;0.15;0.1;1763.0;1882.0;1882.0;8.31662;8.31662;0.06749858;0.06749858
A-n80-k10;0.15;0.3;1763.0;1829.0;1829.0;86.63334;86.63334;0.03743619;0.03743619
A-n80-k10;0.15;0.5;1763.0;1856.0;1856.0;299.0274;299.0274;0.05275099;0.05275099
A-n80-k10;0.2;0.1;1763.0;1849.0;1849.0;237.4253;237.4253;0.04878049;0.04878049
A-n80-k10;0.2;0.3;1763.0;1876.0;1876.0;257.6024;257.6024;0.06409529;0.06409529
A-n80-k10;0.2;0.5;1763.0;1865.0;1865.0;223.6983;223.6983;0.05785593;0.05785593
A-n80-k10;0.3;0.1;1763.0;1885.0;1885.0;55.80372;55.80372;0.06920023;0.06920023
A-n80-k10;0.3;0.3;1763.0;1880.0;1880.0;216.5168;216.5168;0.06636415;0.06636415
A-n80-k10;0.3;0.5;1763.0;1854.0;1854.0;148.6043;148.6043;0.05161656;0.05161656
B-n50-k8;0.15;0.1;1312.0;1330.0;1330.0;90.31954;90.31954;0.01371951;0.01371951
B-n50-k8;0.15;0.3;1312.0;1331.0;1331.0;231.7089;231.7089;0.01448171;0.01448171
B-n50-k8;0.15;0.5;1312.0;1332.0;1332.0;154.4217;154.4217;0.0152439;0.0152439
B-n50-k8;0.2;0.1;1312.0;1331.0;1331.0;267.6759;267.6759;0.01448171;0.01448171
B-n50-k8;0.2;0.3;1312.0;1328.0;1328.0;127.2251;127.2251;0.01219512;0.01219512
B-n50-k8;0.2;0.5;1312.0;1332.0;1332.0;137.3557;137.3557;0.0152439;0.0152439
B-n50-k8;0.3;0.1;1312.0;1332.0;1332.0;91.77716;91.77716;0.0152439;0.0152439
B-n50-k8;0.3;0.3;1312.0;1333.0;1333.0;251.2757;251.2757;0.0160061;0.0160061
B-n50-k8;0.3;0.5;1312.0;1329.0;1329.0;206.3515;206.3515;0.01295732;0.01295732
B-n78-k10;0.15;0.1;1221.0;1292.0;1292.0;129.6887;129.6887;0.05814906;0.05814906
B-n78-k10;0.15;0.3;1221.0;1260.0;1260.0;175.2331;175.2331;0.03194103;0.03194103
B-n78-k10;0.15;0.5;1221.0;1294.0;1294.0;283.1319;283.1319;0.05978706;0.05978706
B-n78-k10;0.2;0.1;1221.0;1294.0;1294.0;50.99136;50.99136;0.05978706;0.05978706
B-n78-k10;0.2;0.3;1221.0;1302.0;1302.0;27.42077;27.42077;0.06633907;0.06633907
B-n78-k10;0.2;0.5;1221.0;1290.0;1290.0;8.954309;8.954309;0.05651106;0.05651106
B-n78-k10;0.3;0.1;1221.0;1300.0;1300.0;236.0547;236.0547;0.06470106;0.06470106
B-n78-k10;0.3;0.3;1221.0;1293.0;1293.0;276.3808;276.3808;0.05896806;0.05896806
B-n78-k10;0.3;0.5;1221.0;1283.0;1283.0;30.16927;30.16927;0.05077805;0.05077805
