instance; param1; param2; f_mh_min
A-n32-k5;0,15;0,1;788,0
A-n32-k5;0,15;0,3;788,0
A-n32-k5;0,15;0,5;788,0
A-n32-k5;0,2;0,1;788,0
A-n32-k5;0,2;0,3;788,0
A-n32-k5;0,2;0,5;788,0
A-n32-k5;0,3;0,1;788,0
A-n32-k5;0,3;0,3;788,0
A-n32-k5;0,3;0,5;788,0
A-n46-k7;0,15;0,1;919,0
A-n46-k7;0,15;0,3;919,0
A-n46-k7;0,15;0,5;918,0
A-n46-k7;0,2;0,1;926,0
A-n46-k7;0,2;0,3;922,0
A-n46-k7;0,2;0,5;922,0
A-n46-k7;0,3;0,1;927,0
A-n46-k7;0,3;0,3;925,0
A-n46-k7;0,3;0,5;923,0
A-n80-k10;0,15;0,1;1882,0
A-n80-k10;0,15;0,3;1829,0
A-n80-k10;0,15;0,5;1856,0
A-n80-k10;0,2;0,1;1849,0
A-n80-k10;0,2;0,3;1876,0
A-n80-k10;0,2;0,5;1865,0
A-n80-k10;0,3;0,1;1885,0
A-n80-k10;0,3;0,3;1880,0
A-n80-k10;0,3;0,5;1854,0
B-n50-k8;0,15;0,1;1330,0
B-n50-k8;0,15;0,3;1331,0
B-n50-k8;0,15;0,5;1332,0
B-n50-k8;0,2;0,1;1331,0
B-n50-k8;0,2;0,3;1328,0
B-n50-k8;0,2;0,5;1332,0
B-n50-k8;0,3;0,1;1332,0
B-n50-k8;0,3;0,3;1333,0
B-n50-k8;0,3;0,5;1329,0
B-n78-k10;0,15;0,1;1292,0
B-n78-k10;0,15;0,3;1260,0
B-n78-k10;0,15;0,5;1294,0
B-n78-k10;0,2;0,1;1294,0
B-n78-k10;0,2;0,3;1302,0
B-n78-k10;0,2;0,5;1290,0
B-n78-k10;0,3;0,1;1300,0
B-n78-k10;0,3;0,3;1293,0
B-n78-k10;0,3;0,5;1283,0
